job_title,keywords
financial analyst,"balance sheet, customer service, process cost, fix asset, merger and acquisition, clean datum, raw datum, financial analysis, inventory management, scenario analysis, operate budget, continuity test, reporting tool, coordinate system, etl, user profile, business process, inventory valuation, erp, power bi, asset management, business continuity, financial statement, budget process, sox, variance analysis, ssis"
business development executive/manager,"strategic partnership, business intelligence, emotional intelligence, marketing strategy, return on marketing investment, lcg, brand awareness, content management, business strategy, international trade, market research, strategic alliance, digital marketing, business development"
sales associate,"capital asset, mba, private equity, financial institution, capital market, financial statement, asset management, market pricing, statutory audit, financial service"
management consultant,"capital asset, mba, private equity, financial institution, capital market, financial statement, asset management, market pricing, statutory audit, financial service"
sales associate,"listening skill, customer service, active listening, cash handling, security administration, social security, cash register, microsoft office"
graphic designer,"goal orient, large format, design studio, graphic design, desktop publishing, digital printing"
sales associate,"business process, requirement analysis, force com, cloud service, functional requirement, business requirement, ide, single sign on"
software engineer/developer,"business process, requirement analysis, force com, cloud service, functional requirement, business requirement, ide, single sign on"
marketing executive/manager,"business development, service provider, ppp, com, sale development, team management, web portal, internet service"
administrative assistant,"project schedule, crowd control, excel macro, curriculum development, emergency management, merchandise planning, account payable, resource management, customer satisfaction, employee handbook, microsoft office, customer retention, cash management, price negotiation, account receivable, workflow management, first aid, need assessment, strategic planning, international relation, vendor management, contract negotiation, quality assurance, public relation, project management, crisis management, cooperative learning, google analytic, quick learning, sap implementation, proposal write, technical documentation, customer service, team build, course evaluation, job description, prospect research, service management, relationship management, time management, event planning, billing system, cpr, expense report, fix, service orientation, financial planning, facility management, classroom management"
software engineer/developer,"software engineering, windows, core java, project planning, app store, servlets, c#, test automation tools, jquery, project management, css, cascading style sheets, software development, c++, bash, eclipse, javascript, pl/sql, jquery ui, sql, visual studio, xcode, cordova, html, c, android, linux, java, xml, iphone application development, windows phone, test automation, front end, programming, data structures, algorithms, jquery mobile, angularjs, mysql, api"
business development executive/manager,"it recruitment, new business development, c#, customer relationship management, sdlc, networking, asp.net, javascript, microsoft office, sql, sourcing, web portal, recruiting, html, vendor management, c, professional networking, resource management, crm, contract recruitment, business development, microsoft sql server, talent acquisition, technical recruiting, business partner, competitor analysis, account management, business analysis, screening, market research"
business development,"it recruitment, new business development, c#, customer relationship management, sdlc, networking, asp.net, javascript, microsoft office, sql, sourcing, web portal, recruiting, html, vendor management, c, professional networking, resource management, crm, contract recruitment, business development, microsoft sql server, talent acquisition, technical recruiting, business partner, competitor analysis, account management, business analysis, screening, market research"
ui/ux designer,"product strategy, visual design, e commerce, consumer behaviour, experience design, interaction design, user flow"
executive director,"it infrastructure, stakeholder management, risk management framework, process improvement, service management, project management, solution design, manage service, customer experience, relationship management, joint venture, team management, remote infrastructure management, career development, infrastructure management, service desk, financial management, resource allocation, quality of service, business excellence, customer engagement, knowledge management, customer satisfaction, market share, business development, pricing strategy, ites, technical support, strategic planning, solution delivery, risk management, system integration, it service management, performance report"
operations manager,"it infrastructure, stakeholder management, risk management framework, process improvement, service management, project management, solution design, manage service, customer experience, relationship management, joint venture, team management, remote infrastructure management, career development, infrastructure management, service desk, financial management, resource allocation, quality of service, business excellence, customer engagement, knowledge management, customer satisfaction, market share, business development, pricing strategy, ites, technical support, strategic planning, solution delivery, risk management, system integration, it service management, performance report"
project manager,"urban design, brand marketing, real estate, architectural drawing, architectural design, interior design, com"
software engineer/developer,"business requirement, seo, web service, payroll system, microsoft word, form field, facility management, food service, medical education, case, web project, visual basic, production support, access project, pdf, xml, microsoft excel, model view controller, sql server integration service, c #, source code, microsoft office, asp net, staff management, iis 6, microsoft access, xml schema, virtual machine, microsoft transaction server, code generation, accounting system, electronic datum interchange, cms, etl, word vba, fix, law enforcement, window form, entity framework, api, microsoft solution framework, store procedure, point of sale, insurance fraud, microsoft sql server, functional specification, asp, web page, html, project management, indexing service, sql server reporting service, utility function, ssis, renewable energy"
software engineer/developer,"business requirement, seo, web service, payroll system, microsoft word, form field, facility management, food service, medical education, case, web project, visual basic, production support, access project, pdf, xml, microsoft excel, model view controller, sql server integration service, c #, source code, microsoft office, asp net, staff management, iis 6, microsoft access, xml schema, virtual machine, microsoft transaction server, code generation, accounting system, electronic datum interchange, cms, etl, word vba, fix, law enforcement, window form, entity framework, api, microsoft solution framework, store procedure, point of sale, insurance fraud, microsoft sql server, functional specification, asp, web page, html, project management, indexing service, sql server reporting service, utility function, ssis, renewable energy"
software engineer/developer,"eagle, back end, davinci resolve, data management"
software engineer/developer,"eagle, back end, davinci resolve, data management"
software engineer/developer,"computer science, e commerce, react js, soap, machine code, inventory management, spring boot, file import, api, web application"
software engineer/developer,"computer science, e commerce, react js, soap, machine code, inventory management, spring boot, file import, api, web application"
research analyst,"market research, english, accounting, microsoft office"
executive director,"relationship management, business development, microsoft excel, customer relationship management, industrial engineering, crm, amadeus"
executive director,"relationship management, business development, microsoft excel, customer relationship management, industrial engineering, crm, amadeus"
account executive,"business understanding, creative direction, trial balance, customer service, financial statement, microsoft powerpoint, human resources, managerial finance, project management, marketing communications, research, social medium, creative arts, curriculum development, microsoft excel, swot analysis, microsoft word, environmental awareness, leadership, sales, microsoft office, marketing, teamwork, account receivable, site planning, fine art, time management, drawing, general ledger, brand analysis, analysis, management, team motivation, design, financial accounting, public speaking, social media management, orm, entrepreneurship, marketing communication, sales management, strategic planning, colour matching, event management, e commerce, competitor analysis, commitment towards work, sales operations, social media, pre production, communication, visual arts"
account executive,"business understanding, creative direction, trial balance, customer service, financial statement, microsoft powerpoint, human resources, managerial finance, project management, marketing communications, research, social medium, creative arts, curriculum development, microsoft excel, swot analysis, microsoft word, environmental awareness, leadership, sales, microsoft office, marketing, teamwork, account receivable, site planning, fine art, time management, drawing, general ledger, brand analysis, analysis, management, team motivation, design, financial accounting, public speaking, social media management, orm, entrepreneurship, marketing communication, sales management, strategic planning, colour matching, event management, e commerce, competitor analysis, commitment towards work, sales operations, social media, pre production, communication, visual arts"
buyer/supply chain/procurement manager,"project planning, html5, databases, analytical skills, android studio, jquery, analytical skill, microsoft excel, object oriented programming, database design, microsoft word, english, javascript, data entry, microsoft office, teamwork, visual basic .net, financial analysis, c, business planning, system deployment, analysis, powerpoint, phpmyadmin, java, xml, computer science, data administration, information technology, risk management, service industry"
project engineer,"structural engineering, supply chain, civil engineering, international trade, business strategy"
executive director,"project planning, new business development, engaging public speaker, human resources, project management, marketing strategy, business strategy, microsoft excel, strategy, construction, consultation, debate, dry cleaning, leadership, microsoft office, team management, lcd projector, kms, sustainable business, business requirement, planning, real estate, government liasioning, management, negotiation, business development, visual system, strategic planning, market research"
buyer/supply chain/procurement manager,"vendor management, change management, business process, contract management, account payable, material management"
buyer/supply chain/procurement manager,"vendor management, change management, business process, contract management, account payable, material management"
buyer/supply chain/procurement manager,"vendor management, change management, business process, contract management, account payable, material management"
quality control/assurance manager,"logo design, production management, graphic design"
product manager,"logo design, production management, graphic design"
software engineer/developer,"student development, project file, file structure, photo editing, front end, e commerce, case law, expense management, back end"
software engineer/developer,"student development, project file, file structure, photo editing, front end, e commerce, case law, expense management, back end"
sales associate,"business development, service level agreement, db2 sql, ibm db2, customer service, problem management, fix, root cause analysis, test case, requirement specification, service level"
sales associate,"business development, service level agreement, db2 sql, ibm db2, customer service, problem management, fix, root cause analysis, test case, requirement specification, service level"
sales manager,"relationship management, quality control, service delivery, ites, cut fluid, ibm, mechanical engineering, regional sale, customer relationship management, business education, big datum, catia, strategic alliance"
business development,"relationship management, quality control, service delivery, ites, cut fluid, ibm, mechanical engineering, regional sale, customer relationship management, business education, big datum, catia, strategic alliance"
business development executive/manager,"relationship management, quality control, service delivery, ites, cut fluid, ibm, mechanical engineering, regional sale, customer relationship management, business education, big datum, catia, strategic alliance"
account executive,"live streaming, office administration, act, management system, product engineering, asset management, post production, com"
marketing executive/manager,"live streaming, office administration, act, management system, product engineering, asset management, post production, com"
administrative assistant,"live streaming, office administration, act, management system, product engineering, asset management, post production, com"
customer success manager,"problem solve, process improvement, industrial engineering, business case, aerospace industry, customer service, adam, supply chain management, management system, change request, mba, cash register, contract management, raw datum, space station, loyalty program, supply chain, organizational leadership, technical support, big datum, critical thinking, strategic communication"
sales associate,"problem solve, process improvement, industrial engineering, business case, aerospace industry, customer service, adam, supply chain management, management system, change request, mba, cash register, contract management, raw datum, space station, loyalty program, supply chain, organizational leadership, technical support, big datum, critical thinking, strategic communication"
software engineer/developer,"user interface, android application, android sdk, android development, head start"
business development,"reach, crm, enterprise risk management, computer display, business analytic, corporate strategy, financial analysis, mobile app, program scope, resource management, financial system, customer satisfaction, content management, system integration, project risk management, digital technology, act, software as a service, building code, information technology, ibm, management system, web content management system, joint venture, look and feel, technology roadmap, identity and access management, semantic search, project management, go to market strategy, customer experience, digital transformation, blast, professional service, military computer, visual system, content management system, relationship management, business development, process improvement, project closure, business process, project proposal, com, civil aviation, risk management, program management"
project manager,"reach, crm, enterprise risk management, computer display, business analytic, corporate strategy, financial analysis, mobile app, program scope, resource management, financial system, customer satisfaction, content management, system integration, project risk management, digital technology, act, software as a service, building code, information technology, ibm, management system, web content management system, joint venture, look and feel, technology roadmap, identity and access management, semantic search, project management, go to market strategy, customer experience, digital transformation, blast, professional service, military computer, visual system, content management system, relationship management, business development, process improvement, project closure, business process, project proposal, com, civil aviation, risk management, program management"
project manager,"reach, crm, enterprise risk management, computer display, business analytic, corporate strategy, financial analysis, mobile app, program scope, resource management, financial system, customer satisfaction, content management, system integration, project risk management, digital technology, act, software as a service, building code, information technology, ibm, management system, web content management system, joint venture, look and feel, technology roadmap, identity and access management, semantic search, project management, go to market strategy, customer experience, digital transformation, blast, professional service, military computer, visual system, content management system, relationship management, business development, process improvement, project closure, business process, project proposal, com, civil aviation, risk management, program management"
engineering manager/project manager,"reach, crm, enterprise risk management, computer display, business analytic, corporate strategy, financial analysis, mobile app, program scope, resource management, financial system, customer satisfaction, content management, system integration, project risk management, digital technology, act, software as a service, building code, information technology, ibm, management system, web content management system, joint venture, look and feel, technology roadmap, identity and access management, semantic search, project management, go to market strategy, customer experience, digital transformation, blast, professional service, military computer, visual system, content management system, relationship management, business development, process improvement, project closure, business process, project proposal, com, civil aviation, risk management, program management"
sales associate,"customer service, medical laboratory, transfusion medicine, health system, quality control, specimen collection, clinical pathology, laboratory testing, american medical technologist, clinical chemistry"
graphic designer,"video production, web graphic, front end, customer service, graphic design, digital signage, cash register, print production, marketing material, digital printing"
sales manager,"business development, marketing management, lead generation"
engineering manager/project manager,"operational efficiency, problem solve, form layout, design review, speech analytic, product line, technical documentation, data science, visual basic, customer satisfaction, project schedule, css, fact check, data element, system implementation, technical support, data presentation, html, project management, quality policy"
engineering manager/project manager,"operational efficiency, problem solve, form layout, design review, speech analytic, product line, technical documentation, data science, visual basic, customer satisfaction, project schedule, css, fact check, data element, system implementation, technical support, data presentation, html, project management, quality policy"
customer success manager,"customer advocacy, revenue growth, customer success, account expansion, account renewal, customer relationship management, business strategy, client retention, product demonstration, product training, executive sponsor, customer engagement, professional service, customer satisfaction"
customer success manager,"customer advocacy, revenue growth, customer success, account expansion, account renewal, customer relationship management, business strategy, client retention, product demonstration, product training, executive sponsor, customer engagement, professional service, customer satisfaction"
sales associate,"ls dyna, sale engineering, system design, high performance computing, project management, visual design, customer support, system integration, technical sale, 3d printing"
sales associate,"ls dyna, sale engineering, system design, high performance computing, project management, visual design, customer support, system integration, technical sale, 3d printing"
quality control/assurance manager,"execution time, release build, sprint planning, test strategy, system testing, boundary testing, user story, test datum, online banking, web application, performance testing, application server"
quality control/assurance manager,"case, software testing, crm, regression testing, system testing, mobile app, erp, functional testing, integration testing, acceptance testing, business analysis, web testing, business intelligence tool, quality assurance, manual testing, agile methodology, test strategy, project charter, traceability matrix, functional specification, business requirement, terminal emulator, customer experience, service desk, supply chain, test case, business intelligence"
project manager,"interpersonal communication, customer service, cultural sensitivity, contract management, microsoft excel, medical terminology, sale planning, project documentation, detail orient, self starter, information processing, shipping and receive, write communication, financial statement, retail sale, prior authorization, build event, team build, interactive learning, risk management"
sales associate,"student service, build management, employee relation, marketing material, com, press release"
sales associate,"student service, build management, employee relation, marketing material, com, press release"
engineering manager/project manager,"computer vision, research paper, team coordination, c++, deep learning, pytorch, post processing, keras, linux, neural networks, python, git, communication"
business consultant,"direct investment, private equity, vendor management, accounting, procure to pay, foreign direct investment, ecb, data integrity, mis, trade relation, financial reporting"
business development,"high education, seo, public relation, brand awareness, quality control, social network, microsoft word, detail orient, quality assurance, press release, white paper"
it project manager,"software project management, linux command, com, management process, release management, application server, retail banking, root cause analysis, mobile banking, relationship building, project management, manage service, software development"
software engineer/developer,"software project management, linux command, com, management process, release management, application server, retail banking, root cause analysis, mobile banking, relationship building, project management, manage service, software development"
software engineer/developer,"software project management, linux command, com, management process, release management, application server, retail banking, root cause analysis, mobile banking, relationship building, project management, manage service, software development"
software engineer/developer,"software project management, linux command, com, management process, release management, application server, retail banking, root cause analysis, mobile banking, relationship building, project management, manage service, software development"
business development executive/manager,"real estate development, business requirement, mba, bim, primary research, risk mitigation, conceptual design, land use, value engineering, environmental engineering, business process, decision make, property management, technical support, financial modeling, real estate, clash detection, due diligence, data integrity, case"
project manager,"real estate development, business requirement, mba, bim, primary research, risk mitigation, conceptual design, land use, value engineering, environmental engineering, business process, decision make, property management, technical support, financial modeling, real estate, clash detection, due diligence, data integrity, case"
project engineer,"real estate development, business requirement, mba, bim, primary research, risk mitigation, conceptual design, land use, value engineering, environmental engineering, business process, decision make, property management, technical support, financial modeling, real estate, clash detection, due diligence, data integrity, case"
sales associate,"service desk, problem solve, study skill, customer service, active learning, diversity and inclusion"
project manager,"service desk, problem solve, study skill, customer service, active learning, diversity and inclusion"
business development,"customer satisfaction, sale training, market segmentation, business development, target market, supply chain, promotional strategy, business partner, account management, customer service, business model, strategic planning"
software engineer/developer,"jade, back end, technical solution design, css, solution design, css, web applications, software design, requirement analysis, functional requirement, javascript, pure css, api design, webpack, quality assurance, html, video player, sass, code review, web page, data management, gulp, bootstrap, front end, programming, e commerce, computer engineering, code testing, angularjs, api, web application"
product manager,"media planning, btl activations, digital marketing, brand communication, digital medium, advertising, management system, presentations, marketing strategy, business strategy, marketing communications, social medium, relationship management, brand awareness, competitive analysis, rural marketing, retail sales, sales, marketing, supply chain, marketing research, marketing management, social media marketing, team management, quantitative analysis, brand strategy, business planning, medium buying, category development, mobile marketing, business rule management system, brand management, online advertising, market share, fmcg, mba, strategic marketing, system rule, retail sales analysis, front end, market planning, business communications, new product development, brand reposition, market research, medium planning"
full stack developer,"application development, mobile device, software testing, net framework, hotel management, social medium marketing, mobile app, multi touch, html, system integration, social medium, software development, object orient design, defect tracking, self starter, mobile application development, requirement analysis, software development life cycle, project management, css, oracle database, business requirement, html, pl sql, assembly language, ios development, c #, user interface, android development, database design, css, problem solve"
software engineer/developer,"application development, mobile device, software testing, net framework, hotel management, social medium marketing, mobile app, multi touch, html, system integration, social medium, software development, object orient design, defect tracking, self starter, mobile application development, requirement analysis, software development life cycle, project management, css, oracle database, business requirement, html, pl sql, assembly language, ios development, c #, user interface, android development, database design, css, problem solve"
software engineer/developer,"application development, mobile device, software testing, net framework, hotel management, social medium marketing, mobile app, multi touch, html, system integration, social medium, software development, object orient design, defect tracking, self starter, mobile application development, requirement analysis, software development life cycle, project management, css, oracle database, business requirement, html, pl sql, assembly language, ios development, c #, user interface, android development, database design, css, problem solve"
business development,"real estate, competitive analysis, public relation, commodity market"
sales manager,"business administration, creative art, microsoft office, social medium marketing, social medium, trade relation, cold calling"
data scientist,"operation center, dimensionality reduction, recommendation engine, com, customer engagement, build process, data science, data retrieval, time series, computer vision, xml, deep learning, jupyter notebook, exploratory datum analysis, san, reservoir engineering, anomaly detection, information retrieval, etl, source datum, hyperparameter optimization, api, data analysis, text mining, signal processing, data management, intrusion detection system, oil field, analytical skill, machine learn, feature extraction"
data scientist,"operation center, dimensionality reduction, recommendation engine, com, customer engagement, build process, data science, data retrieval, time series, computer vision, xml, deep learning, jupyter notebook, exploratory datum analysis, san, reservoir engineering, anomaly detection, information retrieval, etl, source datum, hyperparameter optimization, api, data analysis, text mining, signal processing, data management, intrusion detection system, oil field, analytical skill, machine learn, feature extraction"
data scientist,"operation center, dimensionality reduction, recommendation engine, com, customer engagement, build process, data science, data retrieval, time series, computer vision, xml, deep learning, jupyter notebook, exploratory datum analysis, san, reservoir engineering, anomaly detection, information retrieval, etl, source datum, hyperparameter optimization, api, data analysis, text mining, signal processing, data management, intrusion detection system, oil field, analytical skill, machine learn, feature extraction"
data scientist,"operation center, dimensionality reduction, recommendation engine, com, customer engagement, build process, data science, data retrieval, time series, computer vision, xml, deep learning, jupyter notebook, exploratory datum analysis, san, reservoir engineering, anomaly detection, information retrieval, etl, source datum, hyperparameter optimization, api, data analysis, text mining, signal processing, data management, intrusion detection system, oil field, analytical skill, machine learn, feature extraction"
sales associate,"operation center, dimensionality reduction, recommendation engine, com, customer engagement, build process, data science, data retrieval, time series, computer vision, xml, deep learning, jupyter notebook, exploratory datum analysis, san, reservoir engineering, anomaly detection, information retrieval, etl, source datum, hyperparameter optimization, api, data analysis, text mining, signal processing, data management, intrusion detection system, oil field, analytical skill, machine learn, feature extraction"
business development,"technical support, fluid mechanic, heat transfer, computational fluid dynamic, fluid dynamic"
operations manager,"business development, front office, problem solve, preventive action, workforce management, sale promotion, service quality, facility management, risk analysis"
business development,"marketing software, employee engagement, software architecture, product strategy, cloud application, solutions, customer relationship building, information technology, product engineering, release management, data integrity, product support, product line, technology, services, relationship building, customer engagement"
software engineer/developer,"marketing software, employee engagement, software architecture, product strategy, cloud application, solutions, customer relationship building, information technology, product engineering, release management, data integrity, product support, product line, technology, services, relationship building, customer engagement"
mechanical engineer,"marketing software, employee engagement, software architecture, product strategy, cloud application, solutions, customer relationship building, information technology, product engineering, release management, data integrity, product support, product line, technology, services, relationship building, customer engagement"
sales associate,"digital imaging, print design, html, screen printing, mailing list, graphic design, desktop publishing, cups, logo design, stock merchandise, cash register, css"
sales associate,"digital imaging, print design, html, screen printing, mailing list, graphic design, desktop publishing, cups, logo design, stock merchandise, cash register, css"
engineering manager/project manager,"cancer treatment, property maintenance, chronic fatigue, sound system, business strategy"
systems analyst/consultant,"agile project, network architecture, engineering drawing, assembly line, customer service, customer support, cloud infrastructure, design review, cash register, agile project management, 3d modeling software, customer satisfaction, 3d modeling, system engineering, production equipment, manufacturing process, test strategy, competitive analysis, test equipment, system requirement, product design, gantt chart, cloud computing, point of sale, software engineering, project management, customer experience"
project manager,"agile project, network architecture, engineering drawing, assembly line, customer service, customer support, cloud infrastructure, design review, cash register, agile project management, 3d modeling software, customer satisfaction, 3d modeling, system engineering, production equipment, manufacturing process, test strategy, competitive analysis, test equipment, system requirement, product design, gantt chart, cloud computing, point of sale, software engineering, project management, customer experience"
business analyst,"system control, regression testing, business partner, functional testing, middle office, disaster recovery, project documentation, performance report, investment management, performance metric, market environment, operational system, talent management, market exposure, business system, business requirement, collateral management, performance measurement, test planning, security lending, operational efficiency, operational risk, test case, risk management, transaction processing, act, problem solve"
business development executive/manager,"nutrition education, strategic planning, microsoft word, primary research, growth planning, c++, consulting, cricket, leadership, public speaking, data analysis, marketing strategy, engineering mathematics"
sales associate,"quality assurance, quality control, mba, market research, product management"
operations manager,"social medium, experience design, job description, product management, case"
software engineer/developer,"pcs, command line interface, operating system, amazon relational database service, multi factor authentication, commercial software, security analysis, capacity management, logical partition, open source software, business development, user interface, aws lambda, ibm, ios development, relational database, api, technical support, point of sale, design strategy, objective c, graphic design, system support, network security, java 8"
software engineer/developer,"pcs, command line interface, operating system, amazon relational database service, multi factor authentication, commercial software, security analysis, capacity management, logical partition, open source software, business development, user interface, aws lambda, ibm, ios development, relational database, api, technical support, point of sale, design strategy, objective c, graphic design, system support, network security, java 8"
software engineer/developer,".net, asp net, ibm, html5, c#, ibm rational rhapsody, unix, mvc, windows 8, jquery, css, research, web applications, .net framework, capl, system architecture, asp.net, english, c++, javascript, vector candb++, teamwork, automotive, wpf, sql, open system architecture, visual studio, vector canoe, autosar, rational rhapsody, web services, html, asp.net mvc, c, web service, window phone, windows programming, c #, java, public speaking, xaml, microsoft sql server, windows phone, automotive open system architecture, window embed, autosar, web development"
project engineer,".net, asp net, ibm, html5, c#, ibm rational rhapsody, unix, mvc, windows 8, jquery, css, research, web applications, .net framework, capl, system architecture, asp.net, english, c++, javascript, vector candb++, teamwork, automotive, wpf, sql, open system architecture, visual studio, vector canoe, autosar, rational rhapsody, web services, html, asp.net mvc, c, web service, window phone, windows programming, c #, java, public speaking, xaml, microsoft sql server, windows phone, automotive open system architecture, window embed, autosar, web development"
account executive,"conceptual design, building code, project management, growth strategy, bim, architectural rendering, business development"
sales associate,"conceptual design, building code, project management, growth strategy, bim, architectural rendering, business development"
software engineer/developer,".net, intelligent system, api, customer service, real time datum, c#, data lake, san, datum processing system, spark core, data warehousing, hive, css, project implementation, networking, cisco routers, research, hdfs, microsoft excel, data ingestion, aws elastic map reduce, emr, c++, javascript, amazon web services, microsoft office, spark streaming, teamwork, sql server management studio, sql, team management, big datum, spark sql, service orient architecture, business intelligence, hadoop, scikit learn, amazon web service, autosys, financial service, iam, html, machine learn, c, ipv6, cloud computing, spark ml, web service, google drive, apache nifi, management, java, public speaking, dimension table, ipv4, photoshop, microsoft sql server, big data analytics, big data, eigrp, xml, performance tuning, vpc, fact table, execution time, e commerce, enterprise network security, programming, vlan, ospf, algorithm design, raw datum, linux, mysql, social media, apache spark"
software engineer/developer,"ascii, active listening, c #, oop, behavioral disorder, group therapy"
software engineer/developer,"ascii, active listening, c #, oop, behavioral disorder, group therapy"
business development executive/manager,"operational efficiency, strategic partnership, strategy execution, team leadership, private equity, financial institution"
executive director,"molecular biology, structural biology, genome editing, nucleic acid"
sales associate,"molecular biology, structural biology, genome editing, nucleic acid"
sales associate,"digital transformation, business strategy, production planning"
software engineer/developer,"css, cisco router, deep learning, intelligent system, ospf, computer science, web application, mpls, machine learn, artificial intelligence, reinforcement learning"
software engineer/developer,"css, cisco router, deep learning, intelligent system, ospf, computer science, web application, mpls, machine learn, artificial intelligence, reinforcement learning"
executive director,"corporate service, policy development, safety standard, policy analysis, strategic planning"
executive director,"visual merchandising, space planning, business analysis, product layout, information management"
software engineer/developer,"project planning, active directory, customer service, management system, financial system, aerial photography, arc welding, software system, health science, fuel tank, geological survey, residential construction, physical inventory, user interface, dts, cash flow, interface design, oracle database, computer repair, web page, secret clearance, management style, software maintenance, pdp 11"
software engineer/developer,"data structure, html, css, operating system"
business development executive/manager,"seo, e commerce, market research, marketing analytic, business model, microsoft excel, social medium analytic, event management, content strategy, quantitative analysis, css, business development, real time datum, social medium, supply chain, medium strategy, account management, marketing strategy, web analytic, customer retention, scm, cms, content creation, decision make, digital marketing, data analysis, html, constant contact, project management, google webmaster tool, technology integration, google analytic"
